Komponens szám	Stücklistenstruktur	ANZAHL	Beschreibung	Dateiname	Material	Geschätzte Kosten	Masse
Izület	Normal	1		60zGelenk.ipt	ABS-Kunststoff		0,141 kg
Kábel_Fedél	Normal	1		Cable_Cover.ipt	ABS-Kunststoff		0,009 kg
G2_Fedél	Normal	1		Cover_G2.ipt	ABS-Kunststoff		0,012 kg
burkolat hátoldala	Normal	1		CoverBase.ipt	ABS-Kunststoff		0,707 kg
Drehkranz	Normal	1		Drehkranz.ipt	ABS-Kunststoff		0,077 kg
Drehkranz_B	Normal	1		Drehkranz_B.ipt	ABS-Kunststoff		0,091 kg
EncoderTávolság	Normal	1		EncoderDistanz.ipt	ABS-Kunststoff		0,007 kg
MegfogóIllesztés_b	Normal	1		GripperMount_b.ipt	ABS-Kunststoff		0,007 kg
MegfogóIllesztésLemez	Normal	1		GripperMountPlate.ipt	ABS-Kunststoff		0,003 kg
MegfogóIllesztésTányérTömb	Normal	1		GripperMountPlatehock.ipt	ABS-Kunststoff		0,007 kg
Csatlakozó	Normal	1		LagerKlemme.ipt	ABS-Kunststoff		0,006 kg
magHexMount	Normal	2		magHexMount.ipt	ABS-Kunststoff		0,001 kg
MotorCoverN24_3	Normal	1		MotorCoverN24_3.ipt	ABS-Kunststoff		0,120 kg
OberArm_A	Normal	1		OberArm_A.ipt	ABS-Kunststoff		0,438 kg
OberArm_B	Normal	1		OberArm_B.ipt	ABS-Kunststoff		0,450 kg
OberArm_C	Normal	1	Printed out of 3 parts	OberArm_C.ipt	ABS-Kunststoff		1,000 kg
OberArmMagnet	Normal	1		OberArmMagnet.ipt	ABS-Kunststoff		0,029 kg
RotBase	Normal	1		RotBase.ipt	ABS-Kunststoff		0,911 kg
rotBaseMagnetMount	Normal	1		rotBaseMagnetMount.ipt	ABS-Kunststoff		0,008 kg
rotNema23Mount	Normal	1		rotNema23Mount.ipt	ABS-Kunststoff		0,063 kg
RotoatorGear - Z60	Normal	1		RotoatorGear.ipt	ABS-Kunststoff		0,046 kg
Shoulder_basis_N24	Normal	1	Printed out of 3 parts	Shoulder_basis_N24.ipt	ABS-Kunststoff		0,888 kg
Synchrone Riemenscheibe T2.5 - Z60	Normal	1		Synchrone Riemenscheibe_60z_2.ipt	ABS-Kunststoff		0,019 kg
unterArmSegment_A	Normal	1		unterArmSegment_A.ipt	ABS-Kunststoff		0,288 kg
